id;nome;telefone;clinica
1;Connecticut empower;customized payment;Grass-roots Cambridgeshire
2;Personal Loan Account;Music;Pants
3;Avon;blue scalable Car;bypassing Sleek Steel Shirt Rand Namibia Dollar
4;Fresh incubate Agent;Jewelery Engineer Bedfordshire;Tanzanian Shilling Assurance Nebraska
5;Gardens synthesizing;silver;system
6;Buckinghamshire;Bouvet Island (Bouvetoya);Auto Loan Account asymmetric Montana
7;Applications;Montenegro;frictionless
8;Rubber Awesome Frozen Mouse;Trinidad and Tobago Dollar;Customer-focused
9;Shoes Rubber Mall;users scalable;transmitting parse infrastructures
10;matrix Implementation Shirt;Mobility;Arizona synthesizing Fresh
