id;nome;telefone;email;ponto_referencia
1;SCSI;Technician Architect calculate;Laurence.Rosenbaum@gmail.com;Sports
2;target;compress UAE Dirham Dam;Jana.Zieme10@gmail.com;GB Serbia
3;Guinea Franc fuchsia Licensed;Profound Plastic XSS;Camren_Bartell@hotmail.com;District THX Coordinator
4;grid-enabled Specialist e-services;program override red;Maci_Ratke@hotmail.com;Mall Vietnam Mouse
5;SDD;Cheese Summit Saint Martin;Lisandro29@gmail.com;Chief
6;Savings Account online Avon;Savings Account;Marley_Franecki@yahoo.com;Networked
7;Handcrafted Rubber Gloves;South Carolina;Elton.Wyman@yahoo.com;Circles
8;disintermediate Walks Credit Card Account;payment;Ryley_Wilderman3@hotmail.com;Shoals Rustic Configurable
9;Delaware Health Borders;Rupiah;Ora.Altenwerth7@yahoo.com;Belize PCI
10;Sports;24/365;Brennon.Wolff@gmail.com;Turkish Lira overriding Rustic Metal Computer
